Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2019,2020,Estimates Start After
Algeria,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2017 Primary domestic currency: Algerian dinar Data last updated: 09/2019,43.411,44.227,2017
Angola,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",91.527,88.983,2018
Angola,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",203.433,209.861,2018
Angola,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,037.98","2,867.52",2017
Angola,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.143,0.14,2018
Angola,Unemployment rate,Percent of total labor force,,,,,
Angola,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2017 Primary domestic currency: Angolan kwanza Data last updated: 08/2019,30.128,31.031,2017
Antigua and Barbuda,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.688,1.779,2017
Antigua and Barbuda,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.735,2.882,2017
Antigua and Barbuda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","18,109.10","18,887.45",2011
Antigua and Barbuda,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.002,0.002,2017
Antigua and Barbuda,Unemployment rate,Percent of total labor force,,,,,
Antigua and Barbuda,Population,Persons,Millions,"Source: International Financial Institution. Growth rates from WDI database, but values based on 2011 census Latest actual data: 2011 Primary domestic currency: Eastern Caribbean dollar Data last updated: 08/2019",0.093,0.094,2011
Argentina,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",445.469,443.249,2018
Argentina,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",903.542,909.669,2018
Argentina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,887.79","9,730.91",2018
Argentina,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.637,0.608,2018
Argentina,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018 Notes: Argentina's authorities discontinued the publication of labor market data in December 2015 and released new series starting in the second quarter of 2016. Employment type: National definition Primary domestic currency: Argentine peso Data last updated: 09/2019,10.63,10.115,2018
Argentina,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2018 Notes: Based on the National Census of 2001 Primary domestic currency: Argentine peso Data last updated: 09/2019,45.052,45.551,2018
Armenia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.444,14.132,2018
Armenia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",32.909,35.173,2018
Armenia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,527.59","4,759.21",2015
Armenia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.023,0.024,2018
Armenia,Unemployment rate,Percent of total labor force,,Source: ILO Latest actual data: 2015 Employment type: National definition Primary domestic currency: Armenian dram Data last updated: 09/2019,17.698,17.54,2015
Armenia,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2015 Primary domestic currency: Armenian dram Data last updated: 09/2019,2.969,2.97,2015
Aruba,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.903,2.971,2017
Aruba,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.487,4.621,2017
Aruba,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","25,976.24","26,469.45",2017
Aruba,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.003,0.003,2017
Aruba,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2017 Employment type: Harmonized ILO definition Primary domestic currency: Aruban Florin (Afl.) Data last updated: 08/2019,n/a,n/a,2017
Aruba,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2017 Primary domestic currency: Aruban Florin (Afl.) Data last updated: 08/2019,0.112,0.112,2017
Australia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,376.26","1,375.45",2018
Australia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,364.84","1,423.42",2018
Australia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","53,825.16","52,952.27",2018
Australia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.962,0.952,2018
Australia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2018. Data refer to calendar years Employment type: National definition Primary domestic currency: Australian dollar Data last updated: 09/2019,5.144,5.109,2018
Australia,Population,Persons,Millions,Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2018. Data refer to calendar years Primary domestic currency: Australian dollar Data last updated: 09/2019,25.569,25.975,2018
Austria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",447.718,462.572,2018
Austria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",479.364,497.19,2018
Austria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","50,022.61","51,330.46",2018
Austria,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.338,0.332,2018
Austria,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 08/2019,5.1,5,2018
Austria,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2018 Primary domestic currency: Euro Data last updated: 08/2019,8.95,9.012,2018
Azerbaijan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",47.171,48.038,2018
Azerbaijan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",187.26,195.006,2018
Azerbaijan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,689.38","4,718.93",2018
Azerbaijan,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.132,0.13,2018
Azerbaijan,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018 Employment type: Harmonized ILO definition Primary domestic currency: Azerbaijan manat Data last updated: 09/2019,4.982,4.961,2018
Azerbaijan,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2018 Notes: Data prior to 2005 cannot be confirmed at this time. Primary domestic currency: Azerbaijan manat Data last updated: 09/2019,10.059,10.18,2018
The Bahamas,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.664,12.815,2018
The Bahamas,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.691,12.871,2018
The Bahamas,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","33,261.32","33,286.02",2018
The Bahamas,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.009,0.009,2018
The Bahamas,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018 Employment type: National definition Primary domestic currency: Bahamian dollar Data last updated: 09/2019,13.47,13.225,2018
The Bahamas,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2018 Primary domestic currency: Bahamian dollar Data last updated: 09/2019,0.381,0.385,2018
Bahrain,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",38.184,39.309,2018
Bahrain,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",76.951,80.123,2018
Bahrain,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","25,273.15","25,507.49",2016
Bahrain,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.054,0.054,2018
Bahrain,Unemployment rate,Percent of total labor force,,Source: Other Latest actual data: 2016 Employment type: National definition Primary domestic currency: Bahrain dinar Data last updated: 09/2019,3.95,3.915,2016
Bahrain,Population,Persons,Millions,"Source: National Statistics Office. For data prior to 1990, the source is IFS - International Financial Statistics Latest actual data: 2016. The latest census were 2010 and 2001. Primary domestic currency: Bahrain dinar Data last updated: 09/2019",1.511,1.541,2016
Bangladesh,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",317.465,347.991,2018
Bangladesh,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",837.588,917.805,2018
Bangladesh,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,905.72","2,067.54",2013
Bangladesh,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.59,0.614,2018
Bangladesh,Unemployment rate,Percent of total labor force,,,,,
Bangladesh,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2013 Primary domestic currency: Bangladesh taka Data last updated: 09/2019,166.586,168.312,2013
Barbados,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.189,5.322,2018
Barbados,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.434,5.575,2018
Barbados,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","18,069.38","18,486.77",2018
Barbados,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.004,0.004,2018
Barbados,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018 Employment type: National definition Primary domestic currency: Barbados dollar Data last updated: 08/2019,10.357,10.437,2018
Barbados,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2018 Primary domestic currency: Barbados dollar Data last updated: 08/2019,0.287,0.288,2018
Belarus,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",62.572,63.582,2018
Belarus,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",195.599,200.089,2018
Belarus,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,603.92","6,744.24",2018
Belarus,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.138,0.134,2018
Belarus,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2018 Employment type: National definition Primary domestic currency: Belarusian rubel Data last updated: 08/2019",0.529,0.931,2018
Belarus,Population,Persons,Millions,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2018 Primary domestic currency: Belarusian rubel Data last updated: 08/2019",9.475,9.428,2018
Belgium,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",517.609,529.554,2018
Belgium,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",567.488,586.276,2018
Belgium,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","45,175.59","45,979.69",2018
Belgium,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.4,0.392,2018
Belgium,Unemployment rate,Percent of total labor force,,Source: Central Bank Latest actual data: 2018 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2019,5.5,5.5,2018
Belgium,Population,Persons,Millions,Source: Central Bank Latest actual data: 2018 Primary domestic currency: Euro Data last updated: 09/2019,11.458,11.517,2018
Belize,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.001,2.076,2018
Belize,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.52,3.665,2018
Belize,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,925.18","4,978.34",2014
Belize,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.002,0.002,2018
Belize,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018. Data for 2010 and 2011 are staff estimates because there was no labor force survey conducted for those years. Employment type: National definition Primary domestic currency: Belize dollar Data last updated: 08/2019,9.891,10.353,2018
Belize,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2014 Primary domestic currency: Belize dollar Data last updated: 08/2019,0.406,0.417,2014
Benin,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14.374,15.478,2018
Benin,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",40.717,44.308,2018
Benin,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,216.63","1,274.28",2017
Benin,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.029,0.03,2018
Benin,Unemployment rate,Percent of total labor force,,,,,
Benin,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2017 Primary domestic currency: CFA franc Data last updated: 09/2019,11.814,12.146,2017
Bhutan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.842,2.981,2018
Bhutan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.199,8.965,2018
Bhutan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,423.05","3,533.20",2015
Bhutan,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.006,0.006,2018
Bhutan,Unemployment rate,Percent of total labor force,,Source: Central Bank Latest actual data: 2015/16 Employment type: National definition Primary domestic currency: Bhutanese ngultrum Data last updated: 08/2019,3.2,3.2,2016
Bhutan,Population,Persons,Millions,Source: International Financial Institution. World Development Indicators Latest actual data: 2015 Primary domestic currency: Bhutanese ngultrum Data last updated: 08/2019,0.83,0.844,2015
Bolivia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",42.401,45.253,2017
Bolivia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",94.392,99.923,2017
Bolivia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,670.96","3,860.62",2012
Bolivia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.067,0.067,2017
Bolivia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2013 Employment type: National definition Primary domestic currency: Bolivian boliviano Data last updated: 09/2019,4,4,2013
Bolivia,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2012 Primary domestic currency: Bolivian boliviano Data last updated: 09/2019,11.55,11.722,2012
Bosnia and Herzegovina,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",20.106,21.023,2018
Bosnia and Herzegovina,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",49.794,52.103,2018
Bosnia and Herzegovina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,741.76","6,009.57",2018
Bosnia and Herzegovina,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.035,0.035,2018
Bosnia and Herzegovina,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Total population figures are obtained from the CBBH for the period 96-05. Estimates for 06-16 are obtained applying the growth rates published by the International Labour Organization. Latest actual data: 2018 Employment type: National definition Primary domestic currency: Convertible marka Data last updated: 09/2019,18,18,2018
Bosnia and Herzegovina,Population,Persons,Millions,Source: United Nations Latest actual data: 2018 Notes: No census has been taken since the 1990-s (pre-war); data estimated by national authority. Primary domestic currency: Convertible marka Data last updated: 09/2019,3.502,3.498,2018
Botswana,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",18.69,19.66,2018
Botswana,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",44.133,46.962,2018
Botswana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,859.18","8,116.17",2016
Botswana,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.031,0.031,2018
Botswana,Unemployment rate,Percent of total labor force,,,,,
Botswana,Population,Persons,Millions,Source: International Financial Institution. World Development Indicators Latest actual data: 2016 Primary domestic currency: Botswana pula Data last updated: 09/2019,2.378,2.422,2016
Brazil,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,847.02","1,893.01",2018
Brazil,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","3,456.36","3,596.84",2018
Brazil,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,796.91","8,955.65",2016
Brazil,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",2.436,2.405,2018
Brazil,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018. Employment rate (from survey) times official population estimates  the National Statistical Office (IBGE) Primary domestic currency: Brazilian real Data last updated: 09/2019,11.8,10.8,2018
Brazil,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2016. Official population estimates and forecasts from the National Statistical Office (IBGE) for later years Primary domestic currency: Brazilian real Data last updated: 09/2019,209.962,211.376,2016
Brunei Darussalam,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.455,12.812,2018
Brunei Darussalam,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",35.92,38.356,2018
Brunei Darussalam,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","27,871.45","28,396.71",2018
Brunei Darussalam,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.025,0.026,2018
Brunei Darussalam,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. Department of Economic Planning and Development, Prime Minister's office. Latest actual data: 2018. Unemployment data is not reported for every year. Employment type: National definition Primary domestic currency: Brunei dollar Data last updated: 08/2019",9.316,9.316,2018
Brunei Darussalam,Population,Persons,Millions,"Source: National Statistics Office. Department of Economic Planning and Development, Prime Minister's office. Latest actual data: 2018 Primary domestic currency: Brunei dollar Data last updated: 08/2019",0.447,0.451,2018
Bulgaria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",66.25,70.126,2018
Bulgaria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",171.185,180.17,2018
Bulgaria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,518.44","10,133.07",2018
Bulgaria,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.121,0.12,2018
Bulgaria,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018 Employment type: National definition Primary domestic currency: Bulgarian lev Data last updated: 09/2019,4.9,4.8,2018
Bulgaria,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2018 Primary domestic currency: Bulgarian lev Data last updated: 09/2019,6.96,6.92,2018
Burkina Faso,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14.593,15.847,2018
Burkina Faso,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",42.222,45.629,2018
Burkina Faso,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",717.962,757.613,2018
Burkina Faso,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.03,0.031,2018
Burkina Faso,Unemployment rate,Percent of total labor force,,,,,
Burkina Faso,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2018 Primary domestic currency: CFA franc Data last updated: 08/2019,20.326,20.917,2018
Burundi,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.573,3.714,2015
Burundi,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.384,8.593,2015
Burundi,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",309.87,312.732,0
Burundi,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.006,0.006,2015
Burundi,Unemployment rate,Percent of total labor force,,,,,
Burundi,Population,Persons,Millions,Source: International Financial Institution Latest actual data: IMF staff estimates Primary domestic currency: Burundi franc Data last updated: 08/2019,11.529,11.875,0
Cabo Verde,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.013,2.156,2018
Cabo Verde,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.325,4.629,2018
Cabo Verde,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,598.63","3,808.15",2017
Cabo Verde,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.003,0.003,2018
Cabo Verde,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2017 Primary domestic currency: Cabo Verde escudo Data last updated: 09/2019,8.5,8.5,2017
Cabo Verde,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2017 Primary domestic currency: Cabo Verde escudo Data last updated: 09/2019,0.559,0.566,2017
Cambodia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",26.73,28.977,2018
Cambodia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",76.934,83.774,2018
Cambodia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,620.64","1,730.88",2012
Cambodia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.054,0.056,2018
Cambodia,Unemployment rate,Percent of total labor force,,,,,
Cambodia,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2012 Primary domestic currency: Cambodian riel Data last updated: 09/2019,16.494,16.741,2012
Cameroon,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",38.632,40.621,2017
